epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,255.717,1.61527,3.62201,1.2428,0.03471,0.93156,0.22382,0.14493,1.07134,3.75643,0.91161,0.000190842,0.000190842,0.000190842
2,522.371,1.35526,2.03265,1.08886,0.03775,0.98636,0.5126,0.34831,1.0908,3.17093,0.98197,0.000379183,0.000379183,0.000379183
3,778.163,1.30412,1.56518,1.06556,0.67849,0.64,0.70745,0.50146,1.03673,1.8694,0.96293,0.000559762,0.000559762,0.000559762
4,1037.65,1.24214,1.3769,1.04764,0.73529,0.77055,0.85469,0.59975,1.03146,1.31605,0.96134,0.000553073,0.000553073,0.000553073
5,1297.84,1.16593,1.17549,1.02957,0.83365,0.84437,0.9366,0.62282,1.14392,1.23089,0.99798,0.00054143,0.00054143,0.00054143
6,1553.13,1.13782,1.04888,1.01998,0.89007,0.92512,0.96518,0.70401,1.01854,1.11538,0.95323,0.000529788,0.000529788,0.000529788
7,1811.2,1.11348,0.96254,1.02492,0.95182,0.94735,0.97854,0.71383,0.99979,0.86946,0.94468,0.000518146,0.000518146,0.000518146
8,2065.92,1.08376,0.90088,0.99918,0.93882,0.95344,0.97935,0.74804,0.90985,0.84465,0.93925,0.000506503,0.000506503,0.000506503
9,6015.26,1.07711,0.85998,1.01014,0.95357,0.95458,0.97998,0.73234,0.94963,0.77596,0.95032,0.000494861,0.000494861,0.000494861
10,10329.3,1.07434,0.83737,1.00081,0.95313,0.95114,0.98248,0.69829,1.05316,0.83452,0.96458,0.000483218,0.000483218,0.000483218
11,15847.5,1.09975,0.821,0.99774,0.92926,0.92736,0.97699,0.75146,0.87668,0.80174,0.93432,0.000471576,0.000471576,0.000471576
12,19840.2,1.04546,0.81209,0.99562,0.96889,0.97103,0.9844,0.75922,0.87573,0.7331,0.92414,0.000459934,0.000459934,0.000459934
